Audiogram ID,Latin name,Source long,Source short,DOI,Measurements,sex,Name of the animal,Life stage,Age min in months,Age max in months,Status of liberty,Duration in captivity in months,Name of the Facility,Latitude,Longitude,Position of the animal,Distance to sound source in m,Test environment,Medium,Method,Position of the 1st electrode,Position of the 2nd electrode,Position of the 3rd electrode,Year of experiment start,Year of experiment end,Calibration,Threshold determination info in percent,Duration of test tone,Form of the tone,Staircase procedure,Method of constants,Form of the sound,Sedated,Sedation details,Frequency in kHz,SPL,SPL reference
"110","Trichechus manatus","Gerstein, E. R., Gerstein, L., Forsythe, S. E., & Blue, J. E. (1999). The underwater audiogram of the West Indian manatee (Trichechus manatus). The Journal of the Acoustical Society of America, 105(6), 3575Ã¢Â€Â“3583. doi:10.1121/1.424681","Gerstein et al., 1999","10.1121/1.424681","40","male","Dundee","adult","None","None","captive","108.00","Lowry Park Zoo, USA","28.0129","-82.4691","totally underwater","0.20","Test were conducted in an irregular-shaped pools which were in- ground, variable water depth (1-3 m)","water","behavioral: go - no go & touching a target","None","None","None","None","None","None","80.00","300.00","pure tone","yes","unknown","None","no","None","38.0","94.00","re 1 μPa"
"110","Trichechus manatus","Gerstein, E. R., Gerstein, L., Forsythe, S. E., & Blue, J. E. (1999). The underwater audiogram of the West Indian manatee (Trichechus manatus). The Journal of the Acoustical Society of America, 105(6), 3575Ã¢Â€Â“3583. doi:10.1121/1.424681","Gerstein et al., 1999","10.1121/1.424681","40","male","Dundee","adult","None","None","captive","108.00","Lowry Park Zoo, USA","28.0129","-82.4691","totally underwater","0.20","Test were conducted in an irregular-shaped pools which were in- ground, variable water depth (1-3 m)","water","behavioral: go - no go & touching a target","None","None","None","None","None","None","80.00","300.00","pure tone","yes","unknown","None","no","None","26.0","68.00","re 1 μPa"
"110","Trichechus manatus","Gerstein, E. R., Gerstein, L., Forsythe, S. E., & Blue, J. E. (1999). The underwater audiogram of the West Indian manatee (Trichechus manatus). The Journal of the Acoustical Society of America, 105(6), 3575Ã¢Â€Â“3583. doi:10.1121/1.424681","Gerstein et al., 1999","10.1121/1.424681","40","male","Dundee","adult","None","None","captive","108.00","Lowry Park Zoo, USA","28.0129","-82.4691","totally underwater","0.20","Test were conducted in an irregular-shaped pools which were in- ground, variable water depth (1-3 m)","water","behavioral: go - no go & touching a target","None","None","None","None","None","None","80.00","300.00","pure tone","yes","unknown","None","no","None","18.0","53.00","re 1 μPa"
"110","Trichechus manatus","Gerstein, E. R., Gerstein, L., Forsythe, S. E., & Blue, J. E. (1999). The underwater audiogram of the West Indian manatee (Trichechus manatus). The Journal of the Acoustical Society of America, 105(6), 3575Ã¢Â€Â“3583. doi:10.1121/1.424681","Gerstein et al., 1999","10.1121/1.424681","40","male","Dundee","adult","None","None","captive","108.00","Lowry Park Zoo, USA","28.0129","-82.4691","totally underwater","0.20","Test were conducted in an irregular-shaped pools which were in- ground, variable water depth (1-3 m)","water","behavioral: go - no go & touching a target","None","None","None","None","None","None","80.00","300.00","pure tone","yes","unknown","None","no","None","12.0","55.00","re 1 μPa"
"110","Trichechus manatus","Gerstein, E. R., Gerstein, L., Forsythe, S. E., & Blue, J. E. (1999). The underwater audiogram of the West Indian manatee (Trichechus manatus). The Journal of the Acoustical Society of America, 105(6), 3575Ã¢Â€Â“3583. doi:10.1121/1.424681","Gerstein et al., 1999","10.1121/1.424681","40","male","Dundee","adult","None","None","captive","108.00","Lowry Park Zoo, USA","28.0129","-82.4691","totally underwater","0.20","Test were conducted in an irregular-shaped pools which were in- ground, variable water depth (1-3 m)","water","behavioral: go - no go & touching a target","None","None","None","None","None","None","80.00","300.00","pure tone","yes","unknown","None","no","None","6.0","63.00","re 1 μPa"
"110","Trichechus manatus","Gerstein, E. R., Gerstein, L., Forsythe, S. E., & Blue, J. E. (1999). The underwater audiogram of the West Indian manatee (Trichechus manatus). The Journal of the Acoustical Society of America, 105(6), 3575Ã¢Â€Â“3583. doi:10.1121/1.424681","Gerstein et al., 1999","10.1121/1.424681","40","male","Dundee","adult","None","None","captive","108.00","Lowry Park Zoo, USA","28.0129","-82.4691","totally underwater","0.20","Test were conducted in an irregular-shaped pools which were in- ground, variable water depth (1-3 m)","water","behavioral: go - no go & touching a target","None","None","None","None","None","None","80.00","300.00","pure tone","yes","unknown","None","no","None","3.0","67.00","re 1 μPa"
"110","Trichechus manatus","Gerstein, E. R., Gerstein, L., Forsythe, S. E., & Blue, J. E. (1999). The underwater audiogram of the West Indian manatee (Trichechus manatus). The Journal of the Acoustical Society of America, 105(6), 3575Ã¢Â€Â“3583. doi:10.1121/1.424681","Gerstein et al., 1999","10.1121/1.424681","40","male","Dundee","adult","None","None","captive","108.00","Lowry Park Zoo, USA","28.0129","-82.4691","totally underwater","0.20","Test were conducted in an irregular-shaped pools which were in- ground, variable water depth (1-3 m)","water","behavioral: go - no go & touching a target","None","None","None","None","None","None","80.00","300.00","pure tone","yes","unknown","None","no","None","1.6","76.00","re 1 μPa"
"110","Trichechus manatus","Gerstein, E. R., Gerstein, L., Forsythe, S. E., & Blue, J. E. (1999). The underwater audiogram of the West Indian manatee (Trichechus manatus). The Journal of the Acoustical Society of America, 105(6), 3575Ã¢Â€Â“3583. doi:10.1121/1.424681","Gerstein et al., 1999","10.1121/1.424681","40","male","Dundee","adult","None","None","captive","108.00","Lowry Park Zoo, USA","28.0129","-82.4691","totally underwater","0.20","Test were conducted in an irregular-shaped pools which were in- ground, variable water depth (1-3 m)","water","behavioral: go - no go & touching a target","None","None","None","None","None","None","80.00","300.00","pure tone","yes","unknown","None","no","None","0.5","101.00","re 1 μPa"
