Audiogram ID,Latin name,Source long,Source short,DOI,Measurements,sex,Name of the animal,Life stage,Age min in months,Age max in months,Status of liberty,Duration in captivity in months,Name of the Facility,Latitude,Longitude,Position of the animal,Distance to sound source in m,Test environment,Medium,Method,Position of the 1st electrode,Position of the 2nd electrode,Position of the 3rd electrode,Year of experiment start,Year of experiment end,Calibration,Threshold determination info in percent,Duration of test tone,Form of the tone,Staircase procedure,Method of constants,Form of the sound,Sedated,Sedation details,Frequency in kHz,SPL,SPL reference
"51","Globicephala melas","Pacini, A. F., Nachtigall, P. E., Kloepper, L. N., Linnenschmidt, M., Sogorb, A., & Matias, S. (2010). Audiogram of a formerly stranded long-finned pilot whale (Globicephala melas) measured using auditory evoked potentials. Journal of Experimental Biology, 213(18), 3138Ã¢Â€Â“3143. doi:10.1242/jeb.044636","Pacini et al., 2010","10.1242/jeb.044636","None","male","None","None","None","None","captive","None","Lisbon Zoo, Portugal","38.7458","-9.17108","head at the water surface","1.00","Tests werde done in the back pool of the Lisbon Zoo dolphinarium. The pool measured 10 m x 36.5 m and 6 m deep, and was filled with artificial sea water.","water","electrophysiological: auditory evoked potentials (AEP)","near the blowhole","on the back","on the dorsal fin","2009","2009","Each hydrophone was calibrated prior to the hearing measurements.","None","19.00","sinusoidal amplitude modulated tone (SAM)","unknown","unknown","None","no","None","100.0","124.00","re 1 μPa"
"51","Globicephala melas","Pacini, A. F., Nachtigall, P. E., Kloepper, L. N., Linnenschmidt, M., Sogorb, A., & Matias, S. (2010). Audiogram of a formerly stranded long-finned pilot whale (Globicephala melas) measured using auditory evoked potentials. Journal of Experimental Biology, 213(18), 3138Ã¢Â€Â“3143. doi:10.1242/jeb.044636","Pacini et al., 2010","10.1242/jeb.044636","None","male","None","None","None","None","captive","None","Lisbon Zoo, Portugal","38.7458","-9.17108","head at the water surface","1.00","Tests werde done in the back pool of the Lisbon Zoo dolphinarium. The pool measured 10 m x 36.5 m and 6 m deep, and was filled with artificial sea water.","water","electrophysiological: auditory evoked potentials (AEP)","near the blowhole","on the back","on the dorsal fin","2009","2009","Each hydrophone was calibrated prior to the hearing measurements.","None","19.00","sinusoidal amplitude modulated tone (SAM)","unknown","unknown","None","no","None","80.0","103.00","re 1 μPa"
"51","Globicephala melas","Pacini, A. F., Nachtigall, P. E., Kloepper, L. N., Linnenschmidt, M., Sogorb, A., & Matias, S. (2010). Audiogram of a formerly stranded long-finned pilot whale (Globicephala melas) measured using auditory evoked potentials. Journal of Experimental Biology, 213(18), 3138Ã¢Â€Â“3143. doi:10.1242/jeb.044636","Pacini et al., 2010","10.1242/jeb.044636","None","male","None","None","None","None","captive","None","Lisbon Zoo, Portugal","38.7458","-9.17108","head at the water surface","1.00","Tests werde done in the back pool of the Lisbon Zoo dolphinarium. The pool measured 10 m x 36.5 m and 6 m deep, and was filled with artificial sea water.","water","electrophysiological: auditory evoked potentials (AEP)","near the blowhole","on the back","on the dorsal fin","2009","2009","Each hydrophone was calibrated prior to the hearing measurements.","None","19.00","sinusoidal amplitude modulated tone (SAM)","unknown","unknown","None","no","None","64.0","76.00","re 1 μPa"
"51","Globicephala melas","Pacini, A. F., Nachtigall, P. E., Kloepper, L. N., Linnenschmidt, M., Sogorb, A., & Matias, S. (2010). Audiogram of a formerly stranded long-finned pilot whale (Globicephala melas) measured using auditory evoked potentials. Journal of Experimental Biology, 213(18), 3138Ã¢Â€Â“3143. doi:10.1242/jeb.044636","Pacini et al., 2010","10.1242/jeb.044636","None","male","None","None","None","None","captive","None","Lisbon Zoo, Portugal","38.7458","-9.17108","head at the water surface","1.00","Tests werde done in the back pool of the Lisbon Zoo dolphinarium. The pool measured 10 m x 36.5 m and 6 m deep, and was filled with artificial sea water.","water","electrophysiological: auditory evoked potentials (AEP)","near the blowhole","on the back","on the dorsal fin","2009","2009","Each hydrophone was calibrated prior to the hearing measurements.","None","19.00","sinusoidal amplitude modulated tone (SAM)","unknown","unknown","None","no","None","50.0","70.00","re 1 μPa"
"51","Globicephala melas","Pacini, A. F., Nachtigall, P. E., Kloepper, L. N., Linnenschmidt, M., Sogorb, A., & Matias, S. (2010). Audiogram of a formerly stranded long-finned pilot whale (Globicephala melas) measured using auditory evoked potentials. Journal of Experimental Biology, 213(18), 3138Ã¢Â€Â“3143. doi:10.1242/jeb.044636","Pacini et al., 2010","10.1242/jeb.044636","None","male","None","None","None","None","captive","None","Lisbon Zoo, Portugal","38.7458","-9.17108","head at the water surface","1.00","Tests werde done in the back pool of the Lisbon Zoo dolphinarium. The pool measured 10 m x 36.5 m and 6 m deep, and was filled with artificial sea water.","water","electrophysiological: auditory evoked potentials (AEP)","near the blowhole","on the back","on the dorsal fin","2009","2009","Each hydrophone was calibrated prior to the hearing measurements.","None","19.00","sinusoidal amplitude modulated tone (SAM)","unknown","unknown","None","no","None","40.0","53.00","re 1 μPa"
"51","Globicephala melas","Pacini, A. F., Nachtigall, P. E., Kloepper, L. N., Linnenschmidt, M., Sogorb, A., & Matias, S. (2010). Audiogram of a formerly stranded long-finned pilot whale (Globicephala melas) measured using auditory evoked potentials. Journal of Experimental Biology, 213(18), 3138Ã¢Â€Â“3143. doi:10.1242/jeb.044636","Pacini et al., 2010","10.1242/jeb.044636","None","male","None","None","None","None","captive","None","Lisbon Zoo, Portugal","38.7458","-9.17108","head at the water surface","1.00","Tests werde done in the back pool of the Lisbon Zoo dolphinarium. The pool measured 10 m x 36.5 m and 6 m deep, and was filled with artificial sea water.","water","electrophysiological: auditory evoked potentials (AEP)","near the blowhole","on the back","on the dorsal fin","2009","2009","Each hydrophone was calibrated prior to the hearing measurements.","None","19.00","sinusoidal amplitude modulated tone (SAM)","unknown","unknown","None","no","None","32.0","57.00","re 1 μPa"
"51","Globicephala melas","Pacini, A. F., Nachtigall, P. E., Kloepper, L. N., Linnenschmidt, M., Sogorb, A., & Matias, S. (2010). Audiogram of a formerly stranded long-finned pilot whale (Globicephala melas) measured using auditory evoked potentials. Journal of Experimental Biology, 213(18), 3138Ã¢Â€Â“3143. doi:10.1242/jeb.044636","Pacini et al., 2010","10.1242/jeb.044636","None","male","None","None","None","None","captive","None","Lisbon Zoo, Portugal","38.7458","-9.17108","head at the water surface","1.00","Tests werde done in the back pool of the Lisbon Zoo dolphinarium. The pool measured 10 m x 36.5 m and 6 m deep, and was filled with artificial sea water.","water","electrophysiological: auditory evoked potentials (AEP)","near the blowhole","on the back","on the dorsal fin","2009","2009","Each hydrophone was calibrated prior to the hearing measurements.","None","19.00","sinusoidal amplitude modulated tone (SAM)","unknown","unknown","None","no","None","22.5","64.00","re 1 μPa"
"51","Globicephala melas","Pacini, A. F., Nachtigall, P. E., Kloepper, L. N., Linnenschmidt, M., Sogorb, A., & Matias, S. (2010). Audiogram of a formerly stranded long-finned pilot whale (Globicephala melas) measured using auditory evoked potentials. Journal of Experimental Biology, 213(18), 3138Ã¢Â€Â“3143. doi:10.1242/jeb.044636","Pacini et al., 2010","10.1242/jeb.044636","None","male","None","None","None","None","captive","None","Lisbon Zoo, Portugal","38.7458","-9.17108","head at the water surface","1.00","Tests werde done in the back pool of the Lisbon Zoo dolphinarium. The pool measured 10 m x 36.5 m and 6 m deep, and was filled with artificial sea water.","water","electrophysiological: auditory evoked potentials (AEP)","near the blowhole","on the back","on the dorsal fin","2009","2009","Each hydrophone was calibrated prior to the hearing measurements.","None","19.00","sinusoidal amplitude modulated tone (SAM)","unknown","unknown","None","no","None","11.2","70.00","re 1 μPa"
"51","Globicephala melas","Pacini, A. F., Nachtigall, P. E., Kloepper, L. N., Linnenschmidt, M., Sogorb, A., & Matias, S. (2010). Audiogram of a formerly stranded long-finned pilot whale (Globicephala melas) measured using auditory evoked potentials. Journal of Experimental Biology, 213(18), 3138Ã¢Â€Â“3143. doi:10.1242/jeb.044636","Pacini et al., 2010","10.1242/jeb.044636","None","male","None","None","None","None","captive","None","Lisbon Zoo, Portugal","38.7458","-9.17108","head at the water surface","1.00","Tests werde done in the back pool of the Lisbon Zoo dolphinarium. The pool measured 10 m x 36.5 m and 6 m deep, and was filled with artificial sea water.","water","electrophysiological: auditory evoked potentials (AEP)","near the blowhole","on the back","on the dorsal fin","2009","2009","Each hydrophone was calibrated prior to the hearing measurements.","None","19.00","sinusoidal amplitude modulated tone (SAM)","unknown","unknown","None","no","None","4.0","77.00","re 1 μPa"
